category_key,w_pred,c_pred,w_gt,c_gt,bigg_w_pred,bigg_c_pred,quadrant_gt
salesperson,-0.0015049065,-0.015737768,-1.424735883216636,0.0405960480182922,0.065546475,0.101157315,1
scientist,-0.00075957645,-0.028153092,0.1228983085016147,1.339174510847322,0.05627603,0.10299835,3
security guard,-0.040421747,-0.013382494,-0.4450408444225138,-1.424079660056311,0.014950497,0.043898597,0
secretary,-0.012124077,-0.02208754,1.1593872625881496,-0.7747904286417961,0.06850179,0.10804679,2
taxi driver,-0.019268323,-0.017206468,-1.495728277332152,-0.8804886756162519,0.026821574,0.036316566,0
teacher,-0.0075162407,-0.024182107,0.8754176861260852,-0.2311994442017373,0.07906681,0.09618887,2
technical support worker,-0.021704184,-0.020218907,-0.2036667044297592,0.1311945454249687,0.06898546,0.074718736,1
truck driver,-0.007939829,-0.0078219,-0.8851936879387136,-0.804989927777355,0.04236455,0.060068112,0
veterinarian,0.0029400056,-0.023025505,1.5285477119888329,0.1613940445605275,0.09692295,0.11273287,3
waiter,-0.014556045,-0.005593164,0.1228983085016147,-1.348580912217414,0.07972317,0.08795495,2
welder,-0.011074811,-0.012902371,-0.3314530138376881,0.2217930428316452,0.016118074,0.060114004,1
writer,-0.01061528,-0.015830463,0.2222876602633372,0.3123915402383217,0.044141285,0.041569587,3
